Name,Description,Value
average latency per store instruction,average latency per WG-store from issue to memops done,58.65
average latency per atomic instruction,average latency per WG-atom from issue to memops done,0
average latency of all stages per instruction,average latency of all WG-inst from issue to memops done,72.47
average cycles per load instruction,average cycles per WG-load when issuing (with bank conflict),0.00
average cycles per store instruction,average cycles per WG-store when issuing (with bank conflict),8.0
average cycles per atomic instruction,average cycles per WG-atom when issuing (with bank conflict),0
average conflict cycles per instruction,average conflict cycles per WG-inst when bank conflict happens,3.56
average cycles per instruction,average cycles per WG-inst when issuing (with bank conflict),0.89
shared memory access efficiency,Proportion of NON-CONFLICT access,-299.92%
Achieved waves,number of achieved waves,"231,168.00"
Dispatched waves,number of dispatched waves,"231,168.0"
AP active cycles,number of wave instruction cycles executed on the AP,"231,168.0"
AP MTE Duty ratio,MTE Duty ratio relative to AP active,"2,063.68%"
AP STE Duty ratio,STE Duty ratio relative to AP active,"92,279.41%"
AP MMA Duty ratio,MMA Duty ratio relative to AP active,19.95%
VLS Duty ratio,VLS Duty ratio relative to AP active,0.0%
L2C Duty ratio,L2C Duty ratio relative to L2C active,42.05%
instruction per cycle,The number of instructions per busy cycle across all sub-unit instances,15.80
instruction throughput,The percent of achieved instructions and theoretical instructions during all busy cycles ,0.15
instruction throughput efficiency,The percentage of the maximum instruction throughput achieved during all busy cycles ,3.80%
instruction number,The total number of instructions,"1,442,805,006.21"
instructions per AP,The number of instructions per PEU,"13,873,125.06"
